   261.0 0.962 0.962 0.973 0.952
   263.0 0.964 0.964 0.974 0.954
   265.0 0.965 0.965 0.975 0.955
   267.0 0.966 0.965 0.975 0.956
   269.0 0.966 0.966 0.976 0.956
   271.0 0.967 0.966 0.976 0.957
   273.0 0.967 0.967 0.977 0.957
   275.0 0.968 0.967 0.977 0.958
   277.0 0.969 0.967 0.977 0.958
   279.0 0.969 0.968 0.978 0.959
   281.0 0.970 0.968 0.978 0.960
   283.0 0.971 0.968 0.978 0.960
   285.0 0.971 0.969 0.979 0.961
   287.0 0.972 0.969 0.979 0.961
   289.0 0.972 0.969 0.979 0.962
   291.0 0.972 0.969 0.980 0.962
   293.0 0.973 0.969 0.980 0.962
   295.0 0.973 0.969 0.980 0.962
   297.0 0.973 0.969 0.980 0.963
   299.0 0.973 0.969 0.980 0.963
   301.0 0.974 0.969 0.980 0.963
   303.0 0.974 0.969 0.980 0.963
   305.0 0.974 0.969 0.980 0.963
   307.0 0.974 0.969 0.980 0.963
   309.0 0.974 0.970 0.981 0.963
   311.0 0.975 0.970 0.981 0.964
   313.0 0.975 0.970 0.981 0.964
   315.0 0.975 0.970 0.981 0.964
   317.0 0.975 0.970 0.981 0.964
   319.0 0.975 0.970 0.981 0.964
   321.0 0.976 0.970 0.981 0.965
   323.0 0.976 0.970 0.981 0.965
   325.0 0.976 0.970 0.981 0.965
   327.0 0.976 0.970 0.981 0.965
   329.0 0.976 0.971 0.981 0.965
   331.0 0.976 0.971 0.981 0.965
   333.0 0.976 0.971 0.981 0.965
   335.0 0.976 0.971 0.982 0.965
   337.0 0.977 0.971 0.982 0.965
   339.0 0.977 0.971 0.982 0.966
   341.0 0.977 0.971 0.982 0.966
   343.0 0.977 0.971 0.982 0.966
   345.0 0.977 0.971 0.982 0.966
   347.0 0.977 0.972 0.983 0.966
   349.0 0.978 0.972 0.983 0.967
   351.0 0.978 0.972 0.983 0.967
   353.0 0.978 0.972 0.983 0.967
   355.0 0.978 0.972 0.983 0.967
   357.0 0.978 0.973 0.983 0.968
   359.0 0.978 0.973 0.983 0.968
   361.0 0.978 0.973 0.983 0.968
   363.0 0.978 0.973 0.983 0.968
   365.0 0.978 0.973 0.983 0.968
   367.0 0.978 0.973 0.984 0.968
   369.0 0.978 0.973 0.984 0.968
   371.0 0.979 0.973 0.984 0.968
   373.0 0.979 0.974 0.984 0.969
   375.0 0.979 0.974 0.984 0.969
   377.0 0.979 0.974 0.984 0.969
   379.0 0.979 0.974 0.984 0.969
   381.0 0.979 0.974 0.984 0.969
   383.0 0.979 0.974 0.984 0.969
   385.0 0.979 0.975 0.984 0.970
   387.0 0.979 0.975 0.984 0.970
   389.0 0.979 0.975 0.984 0.970
   391.0 0.979 0.975 0.984 0.970
   393.0 0.979 0.975 0.984 0.971
   395.0 0.979 0.975 0.984 0.971
   397.0 0.980 0.976 0.984 0.971
   399.0 0.980 0.976 0.984 0.971
   401.0 0.980 0.976 0.984 0.971
   403.0 0.980 0.976 0.984 0.971
   405.0 0.980 0.976 0.985 0.972
   407.0 0.980 0.976 0.985 0.972
   409.0 0.980 0.977 0.985 0.972
   411.0 0.980 0.977 0.985 0.972
   413.0 0.980 0.977 0.985 0.972
   415.0 0.980 0.977 0.985 0.972
   417.0 0.980 0.977 0.985 0.972
   419.0 0.980 0.977 0.985 0.972
   421.0 0.980 0.977 0.985 0.972
   423.0 0.980 0.977 0.985 0.973
   425.0 0.981 0.977 0.985 0.973
   427.0 0.981 0.977 0.985 0.973
   429.0 0.981 0.978 0.985 0.973
   431.0 0.981 0.978 0.985 0.973
   433.0 0.981 0.978 0.985 0.973
   435.0 0.981 0.978 0.985 0.973
   437.0 0.981 0.978 0.985 0.973
   439.0 0.981 0.978 0.985 0.974
   441.0 0.981 0.978 0.985 0.974
   443.0 0.981 0.978 0.986 0.974
   445.0 0.981 0.979 0.986 0.974
   447.0 0.981 0.979 0.986 0.974
   449.0 0.981 0.979 0.986 0.974
   451.0 0.981 0.979 0.986 0.974
   453.0 0.981 0.979 0.986 0.974
   455.0 0.981 0.979 0.986 0.974
   457.0 0.981 0.979 0.986 0.974
   459.0 0.981 0.979 0.986 0.974
   461.0 0.981 0.979 0.986 0.974
   463.0 0.981 0.979 0.986 0.975
   465.0 0.982 0.979 0.986 0.975
   467.0 0.982 0.979 0.986 0.975
   469.0 0.982 0.979 0.986 0.975
   471.0 0.982 0.979 0.986 0.975
   473.0 0.982 0.979 0.986 0.975
   475.0 0.982 0.979 0.986 0.975
   477.0 0.982 0.980 0.986 0.975
